experiment,model,image_size,batch_size,epochs,lr,optimizer,dropout,batch_norm,weight_decay,augmentation,initialization,hidden_dims,early_stopping,folds_run,best_fold,val_accuracy_mean,val_accuracy_std,val_macro_f1_mean,val_macro_f1_std,val_balanced_accuracy_mean,val_balanced_accuracy_std,mlflow_run_id
MLP_10_lower_lr_dropout03_bn_wd,MLPClassifier,64,32,30,0.0003,adam,0.3,True,0.0001,minimal,he,"[512, 128]",True,"[0, 1, 2, 3, 4]",1,0.6136363636363635,0.03572218292598352,0.5975040079524536,0.04347946488020058,0.6145410145410144,0.039401786711664784,f6309772107b448c87eba7f55ebf4f50
MLP_2_dropout_batchnorm,MLPClassifier,64,32,20,0.001,adam,0.5,True,0.0,minimal,default,"[512, 128]",False,"[0, 1, 2, 3, 4]",2,0.6053127428127428,0.016483579785225917,0.5939664823627844,0.020942431215429692,0.602572590807885,0.01693573244291865,352c6e5f7a2f4a6fa5de06abc046724c
MLP_11_bigger_bn_dropout03,MLPClassifier,64,32,30,0.0003,adam,0.3,True,0.0001,minimal,he,"[1024, 256]",True,"[0, 1, 2, 3, 4]",1,0.603943278943279,0.033740713561438665,0.592232662965689,0.03425722595930911,0.6072821296350708,0.03648211960980132,076d66bf64744962bd3de74324ad2722
MLP_9_dropout03_batchnorm_weightdecay,MLPClassifier,64,32,25,0.001,adam,0.3,True,0.001,minimal,he,"[512, 128]",True,"[0, 1, 2, 3, 4]",1,0.6024864024864025,0.030440152076181237,0.5921713087523406,0.03222505411440658,0.6063604369486723,0.03040949617133086,1a87dfa5a219407a9140d5b7c4d532d1
MLP_3_dropout_batchnorm_weightdecay,MLPClassifier,64,32,20,0.001,adam,0.5,True,0.0001,minimal,default,"[512, 128]",False,"[0, 1, 2, 3, 4]",1,0.5996989121989121,0.018402168893687544,0.5765104639268362,0.03165219876558678,0.5951741069388128,0.024522288170873457,48b5b78fda804cba8dfa8c157d18652b
MLP_0_baseline,MLPClassifier,64,32,20,0.001,adam,0.0,False,0.0,minimal,default,"[512, 128]",False,"[0, 1, 2, 3, 4]",3,0.591365578865579,0.02202037371915741,0.5843793961588042,0.024530754958245294,0.5958862052979701,0.02627096582349797,a4ad1833ab184b40abe1b66bff2e46ba
MLP_6_he_initialization,MLPClassifier,64,32,20,0.001,adam,0.5,True,0.0001,medium,he,"[512, 128]",False,"[0, 1, 2, 3, 4]",1,0.5592463092463091,0.022298809732946432,0.5496666112115369,0.024552706495656742,0.558647626882921,0.023259302525296628,e6b9a6a1aeb347dcb182f52c0f70c7c1
MLP_4_data_augmentation,MLPClassifier,64,32,20,0.001,adam,0.5,True,0.0001,medium,default,"[512, 128]",False,"[0, 1, 2, 3, 4]",1,0.5564685314685314,0.015438228956385368,0.5404097912201549,0.02202972763443693,0.5539023068434833,0.01823643018348346,f18a6bbbbd2641eab166d5911c8c1355
MLP_5_xavier_initialization,MLPClassifier,64,32,20,0.001,adam,0.5,True,0.0001,medium,xavier,"[512, 128]",False,"[0, 1, 2, 3, 4]",3,0.5481351981351981,0.010302331506009364,0.5337514159494336,0.008584033612083045,0.5503390726920139,0.010667717420938768,912cda7dcace487089936161ec2b6d25
MLP_8_early_stopping,MLPClassifier,64,32,30,0.001,adam,0.5,True,0.0001,medium,he,"[512, 128]",True,"[0, 1, 2, 3, 4]",1,0.5438714063714064,0.02618816829086908,0.5265256280611791,0.03551465051633098,0.5407341677929913,0.028059902549140227,f1b6560f25454ca797f030c515be54eb
MLP_7_uniform_initialization,MLPClassifier,64,32,20,0.001,adam,0.5,True,0.0001,medium,uniform,"[512, 128]",False,"[0, 1, 2, 3, 4]",2,0.5398212898212897,0.025456208178344895,0.5158563857196892,0.03903383280664133,0.541428114369291,0.03013037903328589,5746d1cec322411b9f7821af17c5b4a5
MLP_1_dropout,MLPClassifier,64,32,20,0.001,adam,0.5,False,0.0,minimal,default,"[512, 128]",False,"[0, 1, 2, 3, 4]",4,0.4993298368298368,0.014527797879642196,0.4756357712394088,0.02915639395908319,0.4984492631551455,0.020067766934560104,731bc35c5b344671b92d764cab2effa5
